Q,Error of Tdigests,Error of T of T,P of Tdigests,P of T of T
0.001095290252,0,0,0,0
0.002190580504,0,0,0,0
0.003285870756,0,0,0,0
0.004381161008,0,0,0,0
0.00547645126,0,0,0,0
0.006571741512,0,0,0,0
0.007667031763,0,0,0,0
0.008762322015,0,0,0,0
0.009857612267,0,0,0,0
0.01095290252,0,0,0,0
0.01204819277,0,0,0,0
0.01314348302,0,0,0,0
0.01423877327,0,0,0,0
0.01533406353,0,0,0,0
0.01642935378,0,0,0,0
0.01752464403,0,0,0,0
0.01861993428,0,0,0,0
0.01971522453,0,0,0,0
0.02081051479,0,0,0,0
0.02190580504,0,0,0,0
0.02300109529,0,0,0,0
0.02409638554,0,0,0,0
0.02519167579,0,0,0,0
0.02628696605,0,0,0,0
0.0273822563,0,0,0,0
0.02847754655,0,0,0,0
0.0295728368,0,0,0,0
0.03066812705,0,0,0,0
0.03176341731,0,0,0,0
0.03285870756,0,0,0,0
0.03395399781,0,0,0,0
0.03504928806,0,0,0,0
0.03614457831,0,0,0,0
0.03723986857,0,0,0,0
0.03833515882,0,0,0,0
0.03943044907,0,0,0,0
0.04052573932,0,0,0,0
0.04162102957,0,0,0,0
0.04271631982,0,0,0,0
0.04381161008,0,0,0,0
0.04490690033,0,0,0,0
0.04600219058,0,0,0,0
0.04709748083,0,0,0,0
0.04819277108,0,0,0,0
0.04928806134,0,0,0,0
0.05038335159,0,0,0,0
0.05147864184,0,0,0,0
0.05257393209,0,0,0,0
0.05366922234,0,0,0,0
0.0547645126,0,0,0,0
0.05585980285,0,0,0,0
0.0569550931,0,0,0,0
0.05805038335,0,0,0,0
0.0591456736,0,0,0,0
0.06024096386,0,0,0,0
0.06133625411,0,0,0,0
0.06243154436,0,0,0,0
0.06352683461,0,0,0,0
0.06462212486,0,0,0,0
0.06571741512,0,0,0,0
0.06681270537,0,0,0,0
0.06790799562,0,0,0,0
0.06900328587,0,0,0,0
0.07009857612,0,0,0,0
0.07119386637,0,0,0,0
0.07228915663,0,0,0,0
0.07338444688,0,0,0,0
0.07447973713,0,0,0,0
0.07557502738,0,0,0,0
0.07667031763,0,0,0,0
0.07776560789,0,0,0,0
0.07886089814,0,0,0,0
0.07995618839,0,0,0,0
0.08105147864,0,0,0,0
0.08214676889,0,0,0,0
0.08324205915,0,0,0,0
0.0843373494,0,0,0,0
0.08543263965,0,0,0,0
0.0865279299,0,0,0,0
0.08762322015,0,0,0,0
0.08871851041,0,0,0,0
0.08981380066,0,0,0,0
0.09090909091,0,0,0,0
0.09200438116,0,0,0,0
0.09309967141,0,0,0,0
0.09419496166,0,0,0,0
0.09529025192,0,0,0,0
0.09638554217,0,0,0,0
0.09748083242,0,0,0,0
0.09857612267,0,0,0,0
0.09967141292,0,0,0,0
0.1007667032,0,0,0,0
0.1018619934,0,0,0,0
0.1029572837,0,0,0,0
0.1040525739,0,0,0,0
0.1051478642,0,0,0,0
0.1062431544,0,0,0,0
0.1073384447,0,0,0,0
0.1084337349,0,0,0,0
0.1095290252,0,0,0,0
0.1106243154,0,0,0,0
0.1117196057,0,0,0,0
0.1128148959,0,0,0,0
0.1139101862,0,0,0,0
0.1150054765,0,0,0,0
0.1161007667,0,0,0,0
0.117196057,0,0,0,0
0.1182913472,0,0,0,0
0.1193866375,0,0,0,0
0.1204819277,0,0,0,0
0.121577218,0,0,0,0
0.1226725082,0,0,0,0
0.1237677985,0.01,0,0.0001,0
0.1248630887,0.03,0,0.0003,0
0.125958379,0.07,0,0.0007,0
0.1270536692,0.07,0,0.0007,0
0.1281489595,0.08,0,0.0008,0
0.1292442497,0.08,0,0.0008,0
0.13033954,0.09,0,0.0009,0
0.1314348302,0.09,0,0.0009,0
0.1325301205,0.13,0,0.0013,0
0.1336254107,0.14,0,0.0014,0
0.134720701,0.14,0,0.0014,0
0.1358159912,0.15,0.01,0.0015,0.0001
0.1369112815,0.15,0.01,0.0015,0.0001
0.1380065717,0.17,0.01,0.0017,0.0001
0.139101862,0.17,0.01,0.0017,0.0001
0.1401971522,0.17,0.01,0.0017,0.0001
0.1412924425,0.19,0.01,0.0019,0.0001
0.1423877327,0.19,0.01,0.0019,0.0001
0.143483023,0.21,0.01,0.0021,0.0001
0.1445783133,0.25,0.01,0.0025,0.0001
0.1456736035,0.25,0.01,0.0025,0.0001
0.1467688938,0.26,0.01,0.0026,0.0001
0.147864184,0.28,0.01,0.0028,0.0001
0.1489594743,0.28,0.01,0.0028,0.0001
0.1500547645,0.29,0.01,0.0029,0.0001
0.1511500548,0.3,0.01,0.003,0.0001
0.152245345,0.3,0.01,0.003,0.0001
0.1533406353,0.32,0.01,0.0032,0.0001
0.1544359255,0.33,0.01,0.0033,0.0001
0.1555312158,0.37,0.01,0.0037,0.0001
0.156626506,0.38,0.01,0.0038,0.0001
0.1577217963,0.38,0.01,0.0038,0.0001
0.1588170865,0.4,0.01,0.004,0.0001
0.1599123768,0.41,0.01,0.0041,0.0001
0.161007667,0.43,0.01,0.0043,0.0001
0.1621029573,0.44,0.01,0.0044,0.0001
0.1631982475,0.45,0.01,0.0045,0.0001
0.1642935378,0.45,0.01,0.0045,0.0001
0.165388828,0.45,0.01,0.0045,0.0001
0.1664841183,0.47,0.01,0.0047,0.0001
0.1675794085,0.47,0.01,0.0047,0.0001
0.1686746988,0.49,0.01,0.0049,0.0001
0.169769989,0.52,0.01,0.0052,0.0001
0.1708652793,0.54,0.01,0.0054,0.0001
0.1719605696,0.59,0.01,0.0059,0.0001
0.1730558598,0.59,0.01,0.0059,0.0001
0.1741511501,0.65,0.01,0.0065,0.0001
0.1752464403,0.66,0.01,0.0066,0.0001
0.1763417306,0.66,0.01,0.0066,0.0001
