CId,Mean,Median,P99,TMedian,TP99,Error,Count
-1,16426.22,724.00,706027.00,724.33,701565.63,0.63,1730690.00
21544,532.93,529.50,678.50,529.50,698.00,2.87,14.00
40938,3236.42,649.00,2675.00,649.00,2697.90,0.86,1099.00
22923,34778.37,539.00,1396755.50,539.00,1397127.38,0.03,1864.00
10077,564.51,579.00,810.50,579.00,839.36,3.56,408.00
359,648.47,616.00,1302.00,616.00,1572.00,20.74,49.00
13037,566.89,591.00,750.50,591.00,752.85,0.31,453.00
40172,1570.24,808.50,3855.50,808.50,3856.18,0.02,96.00
671,673.00,669.50,678.50,669.50,686.00,1.11,4.00
11242,582.17,573.00,695.50,573.00,696.00,0.07,6.00
1222,12451.39,684.00,452278.50,684.00,876677.69,93.84,153.00
10655,588.59,605.00,757.00,605.00,790.00,4.36,27.00
10412,539.68,548.00,677.00,548.00,696.00,2.81,19.00
40496,766.04,605.50,1561.00,605.50,1569.12,0.52,438.00
20428,6814.27,433.50,37413.50,433.50,37419.74,0.02,952.00
41511,600.00,600.00,623.00,600.00,646.00,3.69,3.00
22862,8450.86,480.00,94130.50,479.78,94107.07,0.02,19688.00
10191,582.17,567.00,998.50,567.00,1004.11,0.56,83.00
12736,678.10,625.00,1490.50,625.00,1779.36,19.38,174.00
40132,902.02,622.00,6181.00,622.00,6181.40,0.01,880.00
20381,38216.08,551.00,1315077.00,551.00,1315087.32,0.00,657.00
12733,629.00,629.00,629.00,629.00,629.00,0.00,1.00
283,809.00,809.00,809.00,809.00,809.00,0.00,1.00
297,2946.08,682.00,1603.00,682.00,1605.70,0.17,3273.00
41598,1987.29,483.00,773.50,483.00,786.88,1.73,438.00
1124,608.67,604.00,634.00,604.00,661.00,4.26,9.00
11501,618.89,656.00,672.50,656.00,680.00,1.12,19.00
481,615.85,603.00,843.50,603.00,844.55,0.12,785.00
1018,997.78,602.00,3968.50,602.00,3968.85,0.01,565.00
141,630.31,648.00,818.50,648.00,841.74,2.84,72.00
40113,1536.60,1698.00,1769.00,1698.00,1785.00,0.90,5.00
41446,600.60,575.00,679.50,575.00,739.00,8.76,5.00
41510,616.85,604.00,1473.50,604.00,1479.82,0.43,1103.00
20283,22083.75,610.00,1146276.50,610.00,1146822.56,0.05,1162.00
10375,451.75,450.50,455.00,450.50,458.00,0.66,4.00
70167,597.80,562.50,951.50,562.50,965.00,1.42,20.00
22173,595.33,600.00,601.50,600.00,603.00,0.25,3.00
40379,836.97,651.00,1511.00,651.12,1511.15,0.01,23377.00
167,607.14,607.00,731.50,607.00,732.00,0.07,28.00
70217,581.14,546.00,1239.00,546.00,1261.56,1.82,76.00
53,658.42,672.00,754.50,672.00,771.00,2.19,12.00
482,705.33,702.00,716.00,702.00,730.00,1.96,3.00
456,595.77,591.00,951.50,591.00,951.85,0.04,4393.00
41475,503.96,498.00,869.50,497.70,870.00,0.06,3316.00
40488,570.73,563.00,796.00,563.00,797.62,0.20,891.00
142,775.59,681.00,2054.00,681.33,2068.00,0.68,2541.00
20559,149525.25,751.50,1515672.50,751.44,1519562.00,0.26,1942.00
40530,1231.56,564.50,27111.00,564.50,27112.76,0.01,198.00
40408,713.75,719.50,726.50,719.50,730.00,0.48,4.00
